vehicle,earlier_journey,later_journey,earlier_start,later_start,earlier_km,later_km,earlier_fuel_l,later_fuel_l,earlier_l_per_100km,later_l_per_100km,earlier_idle_minutes_estimated,later_idle_minutes_estimated,earlier_event8,later_event8,start_gap_km,end_gap_km,both_fuel_at_least_5l,earlier_route_coverage,later_route_coverage,route_min_coverage,rate_change_pct
AHMPUL0C13,250320230014,250721060008,2025-03-21T07:34:21,2025-07-21T14:55:05,28.0,28.0,5.5,5.5,19.642857142857142,19.642857142857142,0.0,0.0042500000020178,11,10,0.0091545618054482,0.0804726207340216,True,1.0,0.9850746268656716,0.9850746268656716,0.0
AHMPUL0C13,250321040007,250721060008,2025-03-21T12:44:13,2025-07-21T14:55:05,28.0,28.0,6.0,5.5,21.428571428571427,19.642857142857142,0.0,0.0042500000020178,10,10,0.0201772814529776,0.0962816614713145,True,1.0,0.9850746268656716,0.9850746268656716,-8.333333333333325
AHMPUL0C13,250521000001,250721060008,2025-05-21T08:06:46,2025-07-21T14:55:05,28.0,28.0,5.0,5.5,17.857142857142858,19.642857142857142,0.0,0.0042500000020178,10,10,0.0307794476052803,0.0920648047470678,True,1.0,1.0,1.0,9.999999999999986
AHMPUL0C13,250521050006,250721060008,2025-05-21T13:18:08,2025-07-21T14:55:05,28.0,28.0,6.0,5.5,21.428571428571427,19.642857142857142,0.0,0.0042500000020178,11,10,0.0154212740727389,0.0883077236925448,True,1.0,1.0,1.0,-8.333333333333325
AHMPUL0C13,250521070008,250721060008,2025-05-21T15:56:20,2025-07-21T14:55:05,29.0,28.0,5.5,5.5,18.96551724137931,19.642857142857142,0.0,0.0042500000020178,11,10,0.0109277271418267,0.0855091644198412,True,0.9846153846153847,0.9850746268656716,0.9846153846153847,3.571428571428581
AHMPUL0C13,250701050007,250721060008,2025-07-01T13:58:49,2025-07-21T14:55:05,28.0,28.0,5.0,5.5,17.857142857142858,19.642857142857142,0.0,0.0042500000020178,11,10,0.013790255136375,0.0890699069108501,True,1.0,1.0,1.0,9.999999999999986
AHMPUL0C13,250710230012,250721060008,2025-07-11T07:35:54,2025-07-21T14:55:05,29.0,28.0,5.5,5.5,18.96551724137931,19.642857142857142,0.0,0.0042500000020178,8,10,0.0060165509214964,0.0810480646769475,True,1.0,1.0,1.0,3.571428571428581
AHMPUL0C13,250711050006,250721060008,2025-07-11T13:00:53,2025-07-21T14:55:05,28.0,28.0,5.5,5.5,19.642857142857142,19.642857142857142,0.0,0.0042500000020178,8,10,0.0160631730982091,0.0851536520531617,True,1.0,1.0,1.0,0.0
AHMPUL0C13,250720230003,250721060008,2025-07-21T07:34:50,2025-07-21T14:55:05,29.0,28.0,5.0,5.5,17.24137931034483,19.642857142857142,0.0,0.0042500000020178,7,10,0.023406285746889,0.0863156258856015,True,0.984375,0.9850746268656716,0.984375,13.928571428571423
AHMPUL0C13,250111000001,250730220015,2025-01-11T08:37:09,2025-07-31T06:32:13,30.0,30.0,7.0,6.5,23.33333333333333,21.666666666666668,0.0127833333332091,0.0,12,8,0.0142507874025428,0.010936855417486,True,0.9701492537313433,1.0,0.9701492537313433,-7.1428571428571175
AHMPUL0C13,250120220007,250730220015,2025-01-21T06:04:58,2025-07-31T06:32:13,31.0,30.0,6.0,6.5,19.35483870967742,21.666666666666668,0.0,0.0,10,8,0.0882782401683547,0.0283146045298698,True,0.96875,0.9696969696969697,0.96875,11.944444444444446
AHMPUL0C13,250121010002,250730220015,2025-01-21T09:11:20,2025-07-31T06:32:13,30.0,30.0,6.5,6.5,21.666666666666668,21.666666666666668,0.0,0.0,10,8,0.0702806569526174,0.0057641920508565,True,0.9701492537313433,0.9848484848484849,0.9701492537313433,0.0
AHMPUL0C13,250310220011,250730220015,2025-03-11T06:30:15,2025-07-31T06:32:13,30.0,30.0,6.5,6.5,21.666666666666668,21.666666666666668,0.0,0.0,10,8,0.0796368585767219,0.0125274262203025,True,0.9850746268656716,0.9696969696969697,0.9696969696969697,0.0
AHMPUL0C13,250311020004,250730220015,2025-03-11T10:43:44,2025-07-31T06:32:13,30.0,30.0,8.0,6.5,26.666666666666668,21.666666666666668,0.0079833333341715,0.0,11,8,0.0573090920996736,0.0090230599885012,True,0.9714285714285714,0.9848484848484849,0.9714285714285714,-18.75
AHMPUL0C13,250311060007,250730220015,2025-03-11T14:17:44,2025-07-31T06:32:13,31.0,30.0,7.0,6.5,22.58064516129032,21.666666666666668,0.0,0.0,13,8,0.0254385068785117,0.0631864343760933,True,0.9852941176470589,0.9696969696969697,0.9696969696969697,-4.047619047619033
AHMPUL0C13,250320220012,250730220015,2025-03-21T06:02:37,2025-07-31T06:32:13,31.0,30.0,7.0,6.5,22.58064516129032,21.666666666666668,0.0,0.0,10,8,0.1107467027337019,0.0351297132298393,True,0.971830985915493,0.9696969696969697,0.9696969696969697,-4.047619047619033
AHMPUL0C13,250321000002,250730220015,2025-03-21T08:53:36,2025-07-31T06:32:13,31.0,30.0,6.0,6.5,19.35483870967742,21.666666666666668,0.0,0.0,9,8,0.5566375603270117,0.0150157180728948,True,0.9864864864864865,0.9848484848484849,0.9848484848484849,11.944444444444446
AHMPUL0C13,250321030006,250730220015,2025-03-21T11:23:27,2025-07-31T06:32:13,31.0,30.0,6.0,6.5,19.35483870967742,21.666666666666668,0.009299999999348,0.0,9,8,0.0246145131961163,0.0070052803783668,True,0.9838709677419355,0.9696969696969697,0.9696969696969697,11.944444444444446
AHMPUL0C13,250330230001,250730220015,2025-03-31T07:24:49,2025-07-31T06:32:13,31.0,30.0,7.0,6.5,22.58064516129032,21.666666666666668,0.0,0.0,12,8,0.0960779585750098,0.0499794091869383,True,0.9864864864864865,1.0,0.9864864864864865,-4.047619047619033
AHMPUL0C13,250520220015,250730220015,2025-05-21T06:40:10,2025-07-31T06:32:13,30.0,30.0,6.0,6.5,20.0,21.666666666666668,0.0,0.0,9,8,0.0887527595016812,0.0168618592575816,True,0.972972972972973,0.9848484848484849,0.972972972972973,8.333333333333348
AHMPUL0C13,250521010002,250730220015,2025-05-21T09:16:36,2025-07-31T06:32:13,31.0,30.0,6.0,6.5,19.35483870967742,21.666666666666668,0.0,0.0,7,8,0.0243728116049292,0.0134519636218201,True,1.0,0.9848484848484849,0.9848484848484849,11.944444444444446
AHMPUL0C13,250521030005,250730220015,2025-05-21T11:58:11,2025-07-31T06:32:13,31.0,30.0,6.5,6.5,20.967741935483872,21.666666666666668,0.0093333333342646,0.0,11,8,0.0154883419311261,0.0098805496946604,True,1.0,1.0,1.0,3.3333333333333437
AHMPUL0C13,250521060007,250730220015,2025-05-21T14:29:19,2025-07-31T06:32:13,30.0,30.0,6.5,6.5,21.666666666666668,21.666666666666668,0.0121833333318742,0.0,11,8,0.0554945607361751,0.0109436366685774,True,0.9857142857142858,0.9848484848484849,0.9848484848484849,0.0
AHMPUL0C13,250701010002,250730220015,2025-07-01T09:24:46,2025-07-31T06:32:13,30.0,30.0,6.0,6.5,20.0,21.666666666666668,0.0,0.0,10,8,0.0450978232968313,0.0237777669181156,True,0.9722222222222222,0.9696969696969697,0.9696969696969697,8.333333333333348
AHMPUL0C13,250701040006,250730220015,2025-07-01T12:10:18,2025-07-31T06:32:13,31.0,30.0,7.0,6.5,22.58064516129032,21.666666666666668,0.0399500000018936,0.0,8,8,0.5552233401172117,0.006825483454928,True,0.9850746268656716,0.9848484848484849,0.9848484848484849,-4.047619047619033
AHMPUL0C13,250710210010,250730220015,2025-07-11T05:57:31,2025-07-31T06:32:13,30.0,30.0,6.0,6.5,20.0,21.666666666666668,0.0,0.0,10,8,0.0887519642258695,0.0320296985993677,True,1.0,1.0,1.0,8.333333333333348
AHMPUL0C13,250711030005,250730220015,2025-07-11T11:11:21,2025-07-31T06:32:13,31.0,30.0,6.5,6.5,20.967741935483872,21.666666666666668,0.0200333333341404,0.0,12,8,0.0031958104556866,0.0066263622978885,True,1.0,1.0,1.0,3.3333333333333437
