route_group,vehicle,journey,start,km,fuel_l,l_per_100km,group_trip_count
SGQ5MOWUGY-R002,SGQ5MOWUGY,250930020002,2025-09-30T10:11:50,56.09999999999855,7.5,13.3689839572196,2
V9R0Z0ZLT0-R001,V9R0Z0ZLT0,250121080003,2025-01-21T16:27:18,15.0,5.5,36.66666666666666,2
V9R0Z0ZLT0-R001,V9R0Z0ZLT0,250901070003,2025-09-01T15:50:41,14.0,6.0,42.85714285714285,2
V9R0Z0ZLT0-R002,V9R0Z0ZLT0,250731040002,2025-07-31T12:39:15,31.0,11.5,37.096774193548384,3
V9R0Z0ZLT0-R002,V9R0Z0ZLT0,250731080004,2025-07-31T16:29:11,31.0,12.5,40.32258064516129,3
V9R0Z0ZLT0-R002,V9R0Z0ZLT0,250930030002,2025-09-30T11:34:10,31.0,9.0,29.03225806451613,3
V9R0Z0ZLT0-R003,V9R0Z0ZLT0,250731050003,2025-07-31T13:35:06,38.0,12.5,32.89473684210527,2
V9R0Z0ZLT0-R003,V9R0Z0ZLT0,250930040003,2025-09-30T12:08:55,33.0,10.0,30.303030303030305,2
XYK9DYX172-R001,XYK9DYX172,250721020004,2025-07-21T10:18:53,93.0,15.0,16.129032258064516,3
XYK9DYX172-R001,XYK9DYX172,250731020003,2025-07-31T10:43:06,93.5,14.5,15.508021390374331,3
XYK9DYX172-R001,XYK9DYX172,250911020003,2025-09-11T10:31:47,93.59999999999854,14.5,15.491452991453231,3
XYK9DYX172-R002,XYK9DYX172,250730230019,2025-07-31T07:32:11,98.40000000000146,15.5,15.75203252032497,2
XYK9DYX172-R002,XYK9DYX172,250910230007,2025-09-11T07:33:34,99.20000000000071,16.5,16.633064516128908,2
YP6LR2GGM2-R001,YP6LR2GGM2,250311120006,2025-03-11T20:32:13,74.0,27.5,37.16216216216216,2
YP6LR2GGM2-R001,YP6LR2GGM2,251101100004,2025-11-01T18:19:57,68.0,18.0,26.47058823529412,2
ZNUKGJO57M-R001,ZNUKGJO57M,250101060001,2025-01-01T14:05:29,27.0,6.5,24.07407407407408,2
ZNUKGJO57M-R001,ZNUKGJO57M,250130230002,2025-01-31T07:38:22,28.0,9.5,33.92857142857143,2
ZNUKGJO57M-R002,ZNUKGJO57M,250711040001,2025-07-11T12:06:41,124.0,39.5,31.85483870967742,2
ZNUKGJO57M-R002,ZNUKGJO57M,250911030001,2025-09-11T11:02:08,126.0,39.0,30.95238095238096,2
ZNUKGJO57M-R003,ZNUKGJO57M,250721050001,2025-07-21T13:35:09,138.0,34.5,25.0,2
ZNUKGJO57M-R003,ZNUKGJO57M,251111050001,2025-11-11T13:33:38,146.0,38.5,26.36986301369863,2
