cluster,events,days,vehicles,total_minutes,median_minutes,longitude,latitude
349,3,2,1,39.63333333333333,17.9,121.603503,23.947192
544,7,3,1,38.166666666666664,4.516666666666667,121.37923,23.496670285714288
1010,5,5,1,37.4,3.7333333333333334,120.2611298,23.038682599999998
859,3,3,1,36.1,11.716666666666667,121.420059,25.162497000000002
159,5,5,1,35.65,6.3,120.4964632,24.153922799999997
469,3,3,1,35.36666666666667,6.016666666666667,121.569463,23.978666333333337
87,3,2,1,34.166666666666664,5.316666666666666,120.69932033333333,24.320604333333335
1405,5,4,1,32.28333333333333,5.016666666666667,121.7069978,24.9348868
545,3,3,1,31.9,13.866666666666667,121.37933600000001,23.580685333333335
1561,3,3,1,30.016666666666666,8.116666666666667,120.26780433333333,22.880934333333332
404,4,3,1,28.833333333333332,7.716666666666667,121.82785025,24.63166875
186,3,3,1,27.25,9.3,120.33987666666667,23.168115
158,3,3,1,23.583333333333332,6.933333333333334,120.657303,24.050277333333337
1052,3,2,1,23.45,9.1,120.54867033333333,23.88075333333333
1109,3,2,1,20.216666666666665,5.816666666666666,120.52284233333334,23.722509333333335
1583,4,4,1,20.016666666666666,5.291666666666667,120.45816049999999,23.378342500000002
1564,3,3,1,16.8,5.816666666666666,120.20640833333334,23.285949
1154,4,3,1,16.633333333333333,3.775,120.46843725,24.08511475
1204,3,2,1,14.533333333333333,4.3,120.56017033333335,24.238844
1489,3,3,1,13.633333333333333,2.7666666666666666,120.30508666666667,23.338643666666666
1397,3,3,1,13.166666666666666,4.0,121.09649166666668,24.721979666666666
1096,3,2,1,9.2,2.8666666666666667,120.67262266666667,24.108836999999998
1162,3,3,1,9.116666666666667,2.6,121.22125733333333,24.96569066666667
